<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.24	20:00:00	105.888	105.933	105.885	105.899	529	0	1
2021.02.24	20:15:00	105.899	105.919	105.879	105.882	309	0	1
2021.02.24	20:30:00	105.882	105.933	105.882	105.928	450	0	1
2021.02.24	20:45:00	105.926	105.970	105.926	105.969	295	0	1
2021.02.24	21:00:00	105.969	105.975	105.887	105.910	525	0	1
2021.02.24	21:15:00	105.910	105.929	105.876	105.904	453	0	1
2021.02.24	21:30:00	105.904	105.911	105.897	105.900	347	0	1
2021.02.24	21:45:00	105.900	105.965	105.900	105.944	512	0	1
2021.02.24	22:00:00	105.944	105.956	105.898	105.904	332	0	1
2021.02.24	22:15:00	105.904	105.908	105.879	105.882	268	0	1
2021.02.24	22:30:00	105.883	105.896	105.847	105.854	336	0	1
2021.02.24	22:45:00	105.854	105.874	105.850	105.871	416	0	1
2021.02.24	23:00:00	105.871	105.889	105.859	105.859	286	0	1
2021.02.24	23:15:00	105.860	105.887	105.854	105.881	195	0	1
2021.02.24	23:30:00	105.881	105.881	105.837	105.839	382	0	1
2021.02.24	23:45:00	105.839	105.873	105.823	105.850	598	0	1
2021.02.25	00:00:00	105.850	105.869	105.827	105.854	814	0	6
2021.02.25	00:15:00	105.854	105.871	105.831	105.838	3124	0	25
2021.02.25	00:30:00	105.838	105.872	105.829	105.863	1131	0	6
2021.02.25	00:45:00	105.863	105.880	105.847	105.863	966	0	6
2021.02.25	01:00:00	105.863	105.903	105.857	105.898	1740	0	1
2021.02.25	01:15:00	105.898	105.922	105.897	105.915	443	0	1
2021.02.25	01:30:00	105.915	105.934	105.910	105.917	372	0	2
2021.02.25	01:45:00	105.918	105.956	105.912	105.955	411	0	1
2021.02.25	02:00:00	105.955	105.999	105.926	105.981	841	0	1
2021.02.25	02:15:00	105.981	105.992	105.950	105.975	487	0	1
2021.02.25	02:30:00	105.975	106.033	105.975	105.981	685	0	1
2021.02.25	02:45:00	105.981	106.065	105.969	106.027	1044	0	1
2021.02.25	03:00:00	106.026	106.102	105.984	106.060	1172	0	1
