<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.22	06:00:00	1.37164	1.37190	1.37102	1.37111	1437	0	3
2021.01.22	07:00:00	1.37111	1.37132	1.37039	1.37064	1461	0	3
2021.01.22	08:00:00	1.37064	1.37066	1.36915	1.36948	2254	0	3
2021.01.22	09:00:00	1.36948	1.36948	1.36623	1.36682	3903	0	3
2021.01.22	10:00:00	1.36688	1.36961	1.36548	1.36922	4803	0	3
2021.01.22	11:00:00	1.36922	1.36991	1.36513	1.36674	5802	0	3
2021.01.22	12:00:00	1.36675	1.36690	1.36545	1.36594	3687	0	3
2021.01.22	13:00:00	1.36594	1.36760	1.36592	1.36680	4276	0	3
2021.01.22	14:00:00	1.36668	1.36770	1.36574	1.36607	3632	0	3
2021.01.22	15:00:00	1.36606	1.36607	1.36355	1.36468	4950	0	3
2021.01.22	16:00:00	1.36468	1.36631	1.36410	1.36616	4524	0	3
2021.01.22	17:00:00	1.36618	1.36733	1.36544	1.36694	5189	0	3
2021.01.22	18:00:00	1.36698	1.36846	1.36621	1.36826	3870	0	3
2021.01.22	19:00:00	1.36826	1.36843	1.36708	1.36791	2586	0	3
2021.01.22	20:00:00	1.36791	1.36848	1.36758	1.36808	1376	0	3
2021.01.22	21:00:00	1.36808	1.36931	1.36808	1.36818	1569	0	3
2021.01.22	22:00:00	1.36817	1.36850	1.36735	1.36803	1260	0	3
2021.01.22	23:00:00	1.36803	1.36873	1.36791	1.36826	1068	0	3
2021.01.25	00:00:00	1.36747	1.36817	1.36680	1.36751	1218	0	31
2021.01.25	01:00:00	1.36751	1.36910	1.36751	1.36851	1553	0	3
2021.01.25	02:00:00	1.36861	1.36907	1.36785	1.36848	2121	0	3
2021.01.25	03:00:00	1.36848	1.36875	1.36772	1.36821	2386	0	3
2021.01.25	04:00:00	1.36821	1.37015	1.36821	1.36984	2246	0	3
2021.01.25	05:00:00	1.36984	1.37070	1.36974	1.37007	1848	0	3
2021.01.25	06:00:00	1.37007	1.37081	1.36993	1.37034	1234	0	3
2021.01.25	07:00:00	1.37034	1.37150	1.37033	1.37146	2057	0	3
2021.01.25	08:00:00	1.37146	1.37233	1.37127	1.37148	2387	0	3
2021.01.25	09:00:00	1.37148	1.37209	1.37035	1.37195	3547	0	3
2021.01.25	10:00:00	1.37195	1.37205	1.36927	1.37006	4972	0	3
2021.01.25	11:00:00	1.37006	1.37029	1.36659	1.36730	5059	0	3
2021.01.25	12:00:00	1.36730	1.36976	1.36676	1.36951	4268	0	3
2021.01.25	13:00:00	1.36951	1.36991	1.36851	1.36898	3276	0	3
2021.01.25	14:00:00	1.36898	1.36908	1.36719	1.36822	3763	0	3
2021.01.25	15:00:00	1.36819	1.36957	1.36743	1.36825	4198	0	3
2021.01.25	16:00:00	1.36826	1.36909	1.36548	1.36579	5461	0	3
2021.01.25	17:00:00	1.36578	1.36755	1.36522	1.36707	7270	0	3
2021.01.25	18:00:00	1.36705	1.36717	1.36484	1.36657	6620	0	3
2021.01.25	19:00:00	1.36657	1.36823	1.36640	1.36696	4047	0	3
2021.01.25	20:00:00	1.36696	1.36747	1.36669	1.36745	2533	0	3
2021.01.25	21:00:00	1.36745	1.36772	1.36593	1.36627	2347	0	3
2021.01.25	22:00:00	1.36627	1.36707	1.36594	1.36695	2060	0	3
2021.01.25	23:00:00	1.36694	1.36772	1.36626	1.36739	1620	0	3
2021.01.26	00:00:00	1.36740	1.36757	1.36539	1.36729	739	0	9
2021.01.26	01:00:00	1.36729	1.36791	1.36712	1.36760	735	0	3
2021.01.26	02:00:00	1.36760	1.36762	1.36634	1.36662	1364	0	3
2021.01.26	03:00:00	1.36662	1.36751	1.36599	1.36747	2160	0	3
2021.01.26	04:00:00	1.36748	1.36770	1.36694	1.36713	2225	0	3
2021.01.26	05:00:00	1.36713	1.36718	1.36600	1.36642	1776	0	3
2021.01.26	06:00:00	1.36642	1.36662	1.36462	1.36491	1790	0	3
2021.01.26	07:00:00	1.36491	1.36538	1.36467	1.36528	2365	0	3
2021.01.26	08:00:00	1.36529	1.36539	1.36327	1.36387	2174	0	3
2021.01.26	09:00:00	1.36400	1.36475	1.36093	1.36119	4365	0	3
2021.01.26	10:00:00	1.36119	1.36441	1.36109	1.36397	5001	0	3
2021.01.26	11:00:00	1.36397	1.36647	1.36379	1.36584	5391	0	3
2021.01.26	12:00:00	1.36584	1.36608	1.36442	1.36544	4018	0	3
