<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.29	10:30:00	1.21065	1.21127	1.21018	1.21123	1717	0	1
2021.01.29	10:45:00	1.21123	1.21193	1.21055	1.21172	1275	0	1
2021.01.29	11:00:00	1.21171	1.21183	1.21097	1.21115	1598	0	1
2021.01.29	11:15:00	1.21116	1.21145	1.21071	1.21088	1654	0	1
2021.01.29	11:30:00	1.21087	1.21165	1.21059	1.21118	1917	0	1
2021.01.29	11:45:00	1.21118	1.21213	1.21092	1.21166	1778	0	1
2021.01.29	12:00:00	1.21165	1.21193	1.21070	1.21192	1200	0	1
2021.01.29	12:15:00	1.21193	1.21288	1.21160	1.21254	2084	0	1
2021.01.29	12:30:00	1.21254	1.21268	1.21196	1.21211	1494	0	1
2021.01.29	12:45:00	1.21211	1.21345	1.21203	1.21343	1591	0	1
2021.01.29	13:00:00	1.21344	1.21374	1.21298	1.21331	1761	0	1
2021.01.29	13:15:00	1.21331	1.21357	1.21297	1.21357	1407	0	1
2021.01.29	13:30:00	1.21356	1.21388	1.21334	1.21357	1307	0	1
2021.01.29	13:45:00	1.21355	1.21364	1.21268	1.21268	837	0	1
2021.01.29	14:00:00	1.21268	1.21429	1.21267	1.21393	1398	0	1
2021.01.29	14:15:00	1.21393	1.21449	1.21355	1.21437	1357	0	1
2021.01.29	14:30:00	1.21438	1.21449	1.21358	1.21428	1202	0	1
2021.01.29	14:45:00	1.21428	1.21485	1.21335	1.21337	1403	0	1
2021.01.29	15:00:00	1.21337	1.21389	1.21263	1.21359	3243	0	1
2021.01.29	15:15:00	1.21362	1.21454	1.21330	1.21387	1975	0	1
2021.01.29	15:30:00	1.21386	1.21521	1.21381	1.21466	2167	0	1
2021.01.29	15:45:00	1.21465	1.21513	1.21445	1.21462	1813	0	1
2021.01.29	16:00:00	1.21463	1.21560	1.21463	1.21546	1646	0	1
2021.01.29	16:15:00	1.21546	1.21548	1.21471	1.21491	1246	0	1
2021.01.29	16:30:00	1.21492	1.21548	1.21403	1.21405	1940	0	1
2021.01.29	16:45:00	1.21404	1.21520	1.21396	1.21468	2091	0	1
2021.01.29	17:00:00	1.21468	1.21508	1.21441	1.21464	1799	0	1
2021.01.29	17:15:00	1.21466	1.21478	1.21366	1.21462	1618	0	1
2021.01.29	17:30:00	1.21462	1.21497	1.21282	1.21298	1768	0	1
2021.01.29	17:45:00	1.21298	1.21549	1.21250	1.21491	3453	0	1
2021.01.29	18:00:00	1.21493	1.21535	1.21330	1.21346	2291	0	1
2021.01.29	18:15:00	1.21345	1.21413	1.21298	1.21403	1573	0	1
2021.01.29	18:30:00	1.21400	1.21458	1.21360	1.21448	1752	0	1
2021.01.29	18:45:00	1.21448	1.21448	1.21328	1.21352	1429	0	1
2021.01.29	19:00:00	1.21353	1.21439	1.21342	1.21406	1081	0	1
2021.01.29	19:15:00	1.21407	1.21409	1.21326	1.21363	1160	0	1
2021.01.29	19:30:00	1.21363	1.21391	1.21303	1.21325	1344	0	1
2021.01.29	19:45:00	1.21324	1.21374	1.21293	1.21325	1118	0	1
2021.01.29	20:00:00	1.21324	1.21366	1.21293	1.21297	945	0	1
2021.01.29	20:15:00	1.21294	1.21341	1.21275	1.21323	1400	0	1
2021.01.29	20:30:00	1.21323	1.21350	1.21301	1.21336	924	0	1
2021.01.29	20:45:00	1.21337	1.21341	1.21288	1.21296	694	0	1
2021.01.29	21:00:00	1.21297	1.21348	1.21292	1.21325	931	0	1
2021.01.29	21:15:00	1.21325	1.21331	1.21292	1.21304	546	0	1
2021.01.29	21:30:00	1.21303	1.21335	1.21286	1.21323	686	0	1
2021.01.29	21:45:00	1.21325	1.21347	1.21293	1.21307	1052	0	1
2021.01.29	22:00:00	1.21306	1.21350	1.21304	1.21348	792	0	1
2021.01.29	22:15:00	1.21349	1.21369	1.21333	1.21349	532	0	1
2021.01.29	22:30:00	1.21348	1.21375	1.21312	1.21332	641	0	1
2021.01.29	22:45:00	1.21329	1.21392	1.21322	1.21347	1131	0	1
2021.01.29	23:00:00	1.21348	1.21388	1.21309	1.21318	772	0	1
2021.01.29	23:15:00	1.21319	1.21340	1.21303	1.21338	336	0	1
2021.01.29	23:30:00	1.21338	1.21344	1.21308	1.21312	341	0	1
2021.01.29	23:45:00	1.21312	1.21357	1.21308	1.21354	317	0	1
2021.02.01	00:00:00	1.21278	1.21322	1.21277	1.21305	113	0	14
2021.02.01	00:15:00	1.21303	1.21309	1.21272	1.21275	159	0	18
2021.02.01	00:30:00	1.21276	1.21299	1.21276	1.21283	66	0	11
2021.02.01	00:45:00	1.21283	1.21302	1.21274	1.21274	284	0	11
2021.02.01	01:00:00	1.21274	1.21322	1.21211	1.21226	1377	0	1
2021.02.01	01:15:00	1.21227	1.21272	1.21203	1.21263	865	0	1
2021.02.01	01:30:00	1.21263	1.21285	1.21215	1.21238	716	0	1
2021.02.01	01:45:00	1.21238	1.21258	1.21220	1.21227	504	0	1
2021.02.01	02:00:00	1.21225	1.21240	1.21199	1.21216	503	0	1
2021.02.01	02:15:00	1.21217	1.21280	1.21216	1.21280	519	0	1
2021.02.01	02:30:00	1.21281	1.21282	1.21213	1.21231	491	0	1
2021.02.01	02:45:00	1.21232	1.21298	1.21232	1.21296	346	0	1
2021.02.01	03:00:00	1.21297	1.21341	1.21268	1.21287	860	0	1
2021.02.01	03:15:00	1.21286	1.21364	1.21280	1.21349	637	0	1
2021.02.01	03:30:00	1.21349	1.21357	1.21272	1.21289	1032	0	1
2021.02.01	03:45:00	1.21289	1.21311	1.21255	1.21272	752	0	1
2021.02.01	04:00:00	1.21272	1.21289	1.21255	1.21285	394	0	1
2021.02.01	04:15:00	1.21285	1.21295	1.21267	1.21276	285	0	1
2021.02.01	04:30:00	1.21275	1.21290	1.21247	1.21275	363	0	1
2021.02.01	04:45:00	1.21275	1.21277	1.21256	1.21268	516	0	1
2021.02.01	05:00:00	1.21268	1.21273	1.21256	1.21261	357	0	1
2021.02.01	05:15:00	1.21261	1.21293	1.21260	1.21286	592	0	1
2021.02.01	05:30:00	1.21287	1.21315	1.21287	1.21311	358	0	1
2021.02.01	05:45:00	1.21311	1.21315	1.21287	1.21294	319	0	1
2021.02.01	06:00:00	1.21292	1.21329	1.21290	1.21323	586	0	1
2021.02.01	06:15:00	1.21323	1.21328	1.21301	1.21307	314	0	1
2021.02.01	06:30:00	1.21306	1.21315	1.21289	1.21301	397	0	1
2021.02.01	06:45:00	1.21300	1.21311	1.21273	1.21275	442	0	1
2021.02.01	07:00:00	1.21275	1.21294	1.21275	1.21286	328	0	1
2021.02.01	07:15:00	1.21285	1.21288	1.21260	1.21268	420	0	1
2021.02.01	07:30:00	1.21267	1.21285	1.21258	1.21266	679	0	1
2021.02.01	07:45:00	1.21265	1.21324	1.21264	1.21300	653	0	1
2021.02.01	08:00:00	1.21300	1.21325	1.21283	1.21318	457	0	1
2021.02.01	08:15:00	1.21319	1.21321	1.21300	1.21305	429	0	1
2021.02.01	08:30:00	1.21305	1.21305	1.21277	1.21291	313	0	1
2021.02.01	08:45:00	1.21291	1.21296	1.21279	1.21292	236	0	1
2021.02.01	09:00:00	1.21291	1.21307	1.21216	1.21221	748	0	1
2021.02.01	09:15:00	1.21220	1.21270	1.21218	1.21249	699	0	1
2021.02.01	09:30:00	1.21249	1.21289	1.21235	1.21274	915	0	1
2021.02.01	09:45:00	1.21272	1.21292	1.21239	1.21283	873	0	1
2021.02.01	10:00:00	1.21282	1.21302	1.21178	1.21295	1894	0	1
2021.02.01	10:15:00	1.21294	1.21307	1.21128	1.21128	1521	0	1
2021.02.01	10:30:00	1.21130	1.21164	1.21081	1.21084	1751	0	1
2021.02.01	10:45:00	1.21085	1.21096	1.20879	1.20887	1637	0	1
2021.02.01	11:00:00	1.20887	1.20956	1.20836	1.20922	2198	0	1
2021.02.01	11:15:00	1.20925	1.21017	1.20916	1.21011	1281	0	1
2021.02.01	11:30:00	1.21010	1.21043	1.20979	1.20989	1183	0	1
2021.02.01	11:45:00	1.20988	1.21003	1.20914	1.20935	980	0	1
2021.02.01	12:00:00	1.20932	1.20941	1.20877	1.20881	956	0	1
2021.02.01	12:15:00	1.20880	1.20890	1.20830	1.20882	983	0	1
2021.02.01	12:30:00	1.20883	1.20883	1.20693	1.20747	1513	0	1
2021.02.01	12:45:00	1.20746	1.20820	1.20723	1.20797	1234	0	1
2021.02.01	13:00:00	1.20797	1.20821	1.20771	1.20805	897	0	1
2021.02.01	13:15:00	1.20804	1.20811	1.20749	1.20808	769	0	1
2021.02.01	13:30:00	1.20808	1.20820	1.20724	1.20794	802	0	1
