<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.14	09:30:00	121.726	121.759	121.716	121.735	677	0	2
2020.07.14	09:45:00	121.735	121.767	121.706	121.720	861	0	2
2020.07.14	10:00:00	121.720	121.727	121.626	121.641	1347	0	2
2020.07.14	10:15:00	121.641	121.652	121.565	121.612	1290	0	2
2020.07.14	10:30:00	121.612	121.613	121.482	121.544	1473	0	2
2020.07.14	10:45:00	121.544	121.593	121.541	121.551	1134	0	2
2020.07.14	11:00:00	121.551	121.665	121.545	121.613	1431	0	2
2020.07.14	11:15:00	121.613	121.656	121.587	121.641	1055	0	2
2020.07.14	11:30:00	121.642	121.744	121.634	121.740	1340	0	2
2020.07.14	11:45:00	121.740	121.844	121.737	121.806	1344	0	2
2020.07.14	12:00:00	121.805	121.885	121.783	121.876	1736	0	2
2020.07.14	12:15:00	121.876	121.926	121.871	121.908	1398	0	2
2020.07.14	12:30:00	121.908	121.950	121.880	121.916	1487	0	2
2020.07.14	12:45:00	121.916	121.969	121.900	121.930	1026	0	2
2020.07.14	13:00:00	121.926	121.973	121.896	121.960	1354	0	2
2020.07.14	13:15:00	121.960	121.986	121.906	121.951	1037	0	2
2020.07.14	13:30:00	121.951	122.076	121.916	122.060	1069	0	2
2020.07.14	13:45:00	122.060	122.147	122.036	122.118	1028	0	2
2020.07.14	14:00:00	122.117	122.143	122.068	122.101	1179	0	2
2020.07.14	14:15:00	122.101	122.192	122.089	122.159	1266	0	2
2020.07.14	14:30:00	122.160	122.223	122.133	122.134	1242	0	2
2020.07.14	14:45:00	122.134	122.178	122.114	122.157	1245	0	2
2020.07.14	15:00:00	122.157	122.171	122.116	122.163	1307	0	2
2020.07.14	15:15:00	122.163	122.222	122.127	122.141	852	0	2
2020.07.14	15:30:00	122.141	122.191	121.991	122.032	1620	0	2
2020.07.14	15:45:00	122.032	122.131	122.019	122.077	1379	0	2
2020.07.14	16:00:00	122.077	122.122	122.030	122.034	1607	0	2
2020.07.14	16:15:00	122.034	122.074	122.004	122.022	1333	0	2
2020.07.14	16:30:00	122.022	122.165	121.974	122.156	2947	0	2
2020.07.14	16:45:00	122.155	122.235	122.116	122.217	3209	0	2
2020.07.14	17:00:00	122.217	122.250	122.136	122.191	2644	0	2
2020.07.14	17:15:00	122.192	122.273	122.187	122.245	2601	0	2
2020.07.14	17:30:00	122.245	122.319	122.210	122.240	2746	0	2
2020.07.14	17:45:00	122.240	122.289	122.218	122.238	2626	0	2
2020.07.14	18:00:00	122.243	122.273	122.205	122.218	3015	0	2
2020.07.14	18:15:00	122.218	122.247	122.173	122.181	1958	0	2
2020.07.14	18:30:00	122.181	122.257	122.170	122.249	1706	0	2
2020.07.14	18:45:00	122.251	122.296	122.210	122.275	1101	0	2
2020.07.14	19:00:00	122.275	122.292	122.254	122.267	858	0	2
2020.07.14	19:15:00	122.267	122.281	122.239	122.260	759	0	2
2020.07.14	19:30:00	122.261	122.293	122.249	122.271	768	0	2
2020.07.14	19:45:00	122.271	122.297	122.222	122.237	773	0	2
2020.07.14	20:00:00	122.237	122.255	122.211	122.217	946	0	2
2020.07.14	20:15:00	122.217	122.224	122.181	122.181	805	0	2
2020.07.14	20:30:00	122.181	122.202	122.174	122.189	715	0	2
2020.07.14	20:45:00	122.189	122.204	122.112	122.185	890	0	2
2020.07.14	21:00:00	122.185	122.223	122.145	122.167	1417	0	2
2020.07.14	21:15:00	122.167	122.205	122.144	122.171	604	0	2
2020.07.14	21:30:00	122.171	122.183	122.138	122.157	724	0	2
2020.07.14	21:45:00	122.157	122.177	122.134	122.139	723	0	2
2020.07.14	22:00:00	122.139	122.152	122.103	122.130	998	0	2
2020.07.14	22:15:00	122.130	122.176	122.109	122.162	814	0	2
2020.07.14	22:30:00	122.162	122.181	122.140	122.174	712	0	2
2020.07.14	22:45:00	122.174	122.202	122.170	122.172	765	0	2
2020.07.14	23:00:00	122.170	122.214	122.165	122.211	451	0	2
2020.07.14	23:15:00	122.211	122.229	122.199	122.205	253	0	2
2020.07.14	23:30:00	122.205	122.262	122.204	122.257	295	0	2
2020.07.14	23:45:00	122.257	122.257	122.227	122.233	453	0	2
2020.07.15	00:00:00	122.130	122.252	122.042	122.150	87	0	10
2020.07.15	00:15:00	122.150	122.210	122.129	122.175	101	0	6
2020.07.15	00:30:00	122.179	122.253	122.170	122.229	283	0	6
2020.07.15	00:45:00	122.231	122.277	122.215	122.266	442	0	27
2020.07.15	01:00:00	122.266	122.389	122.266	122.372	559	0	2
2020.07.15	01:15:00	122.372	122.414	122.354	122.411	487	0	2
2020.07.15	01:30:00	122.412	122.417	122.376	122.398	648	0	2
2020.07.15	01:45:00	122.398	122.407	122.370	122.381	458	0	2
2020.07.15	02:00:00	122.380	122.396	122.362	122.376	417	0	2
2020.07.15	02:15:00	122.376	122.402	122.364	122.383	444	0	2
2020.07.15	02:30:00	122.383	122.389	122.318	122.333	424	0	2
2020.07.15	02:45:00	122.333	122.373	122.291	122.368	546	0	2
2020.07.15	03:00:00	122.369	122.470	122.356	122.414	1279	0	2
2020.07.15	03:15:00	122.414	122.428	122.354	122.387	993	0	2
2020.07.15	03:30:00	122.387	122.425	122.342	122.425	868	0	2
2020.07.15	03:45:00	122.425	122.461	122.379	122.458	1331	0	2
2020.07.15	04:00:00	122.462	122.462	122.393	122.431	962	0	2
2020.07.15	04:15:00	122.431	122.487	122.416	122.485	957	0	2
2020.07.15	04:30:00	122.485	122.498	122.361	122.371	1462	0	2
2020.07.15	04:45:00	122.371	122.404	122.339	122.380	851	0	2
2020.07.15	05:00:00	122.381	122.381	122.327	122.356	765	0	2
2020.07.15	05:15:00	122.356	122.366	122.327	122.359	657	0	2
2020.07.15	05:30:00	122.359	122.368	122.280	122.291	513	0	2
2020.07.15	05:45:00	122.291	122.330	122.276	122.325	470	0	2
2020.07.15	06:00:00	122.325	122.328	122.268	122.297	714	0	2
2020.07.15	06:15:00	122.297	122.311	122.270	122.283	625	0	2
2020.07.15	06:30:00	122.283	122.286	122.238	122.255	562	0	2
2020.07.15	06:45:00	122.255	122.295	122.247	122.283	509	0	2
2020.07.15	07:00:00	122.281	122.286	122.245	122.256	543	0	2
2020.07.15	07:15:00	122.256	122.291	122.244	122.249	571	0	2
2020.07.15	07:30:00	122.249	122.275	122.227	122.229	519	0	2
2020.07.15	07:45:00	122.229	122.253	122.204	122.226	697	0	2
2020.07.15	08:00:00	122.226	122.241	122.185	122.232	569	0	2
2020.07.15	08:15:00	122.232	122.236	122.209	122.215	493	0	2
2020.07.15	08:30:00	122.215	122.268	122.199	122.265	640	0	2
2020.07.15	08:45:00	122.265	122.288	122.261	122.279	577	0	2
2020.07.15	09:00:00	122.279	122.340	122.263	122.312	1028	0	2
2020.07.15	09:15:00	122.312	122.340	122.280	122.311	996	0	2
2020.07.15	09:30:00	122.311	122.354	122.301	122.338	723	0	2
2020.07.15	09:45:00	122.338	122.342	122.223	122.235	938	0	2
2020.07.15	10:00:00	122.235	122.272	122.146	122.148	1555	0	2
2020.07.15	10:15:00	122.148	122.183	122.103	122.178	1327	0	2
2020.07.15	10:30:00	122.178	122.374	122.177	122.359	2167	0	2
