iter	Passed	Remaining
771	7558	2232
772	7567	2222
773	7576	2212
774	7584	2202
775	7594	2192
776	7602	2181
777	7616	2173
778	7621	2162
779	7642	2155
780	7647	2144
781	7659	2135
782	7665	2124
783	7670	2113
784	7679	2103
785	7689	2093
786	7698	2083
787	7704	2072
788	7714	2063
789	7724	2053
790	7736	2044
791	7754	2036
792	7771	2028
793	7781	2018
794	7791	2009
795	7798	1998
796	7811	1989
797	7820	1979
798	7834	1970
799	7844	1961
800	7859	1952
801	7866	1942
802	7883	1934
803	7893	1924
804	7900	1913
805	7909	1903
806	7915	1892
807	7923	1882
808	7942	1875
809	7950	1865
810	7963	1855
811	7972	1845
812	7984	1836
813	7993	1826
814	8002	1816
815	8011	1806
816	8022	1796
817	8029	1786
818	8043	1777
819	8064	1770
820	8080	1761
821	8098	1753
822	8109	1744
823	8123	1735
824	8145	1727
825	8159	1718
826	8173	1709
827	8193	1702
828	8208	1693
829	8217	1683
830	8234	1674
831	8243	1664
832	8252	1654
833	8261	1644
834	8269	1634
835	8280	1624
836	8294	1615
837	8303	1605
838	8314	1595
839	8320	1584
840	8331	1575
841	8341	1565
842	8346	1554
843	8360	1545
844	8371	1535
845	8380	1525
846	8387	1515
847	8397	1505
848	8403	1494
849	8411	1484
850	8420	1474
851	8426	1463
852	8439	1454
853	8446	1443
854	8457	1434
855	8470	1424
856	8492	1417
857	8508	1408
858	8516	1397
859	8523	1387
860	8529	1377
861	8546	1368
862	8554	1357
863	8565	1348
864	8571	1337
865	8581	1327
866	8592	1318
867	8607	1308
868	8615	1298
869	8629	1289
870	8639	1279
871	8647	1269
872	8659	1259
873	8665	1249
874	8669	1238
875	8678	1228
876	8683	1217
877	8696	1208
878	8709	1198
879	8721	1189
880	8732	1179
881	8741	1169
882	8747	1159
883	8756	1149
884	8761	1138
885	8767	1128
886	8776	1118
887	8781	1107
888	8785	1097
889	8790	1086
890	8799	1076
891	8805	1066
892	8814	1056
893	8819	1045
894	8838	1036
895	8848	1027
896	8856	1017
897	8868	1007
898	8873	996
899	8884	987
900	8895	977
901	8915	968
902	8923	958
903	8938	949
904	8953	939
905	8962	929
906	8972	920
907	8981	910
908	8987	899
909	8994	889
910	9000	879
911	9015	869
912	9020	859
913	9026	849
914	9031	839
915	9038	828
916	9050	819
917	9058	809
918	9069	799
919	9081	789
920	9094	780
921	9102	770
922	9116	760
923	9128	750
924	9138	740
925	9153	731
926	9171	722
927	9185	712
928	9195	702
929	9207	693
930	9213	682
931	9217	672
932	9225	662
933	9230	652
934	9243	642
935	9252	632
936	9263	622
937	9274	613
938	9281	602
939	9291	593
940	9299	583
941	9314	573
942	9325	563
943	9331	553
944	9338	543
945	9349	533
946	9358	523
947	9364	513
948	9379	504
949	9392	494
950	9402	484
951	9412	474
952	9427	464
953	9445	455
954	9464	445
955	9479	436
956	9498	426
957	9515	417
958	9531	407
959	9546	397
960	9559	387
961	9571	378
962	9579	368
963	9587	358
964	9597	348
965	9608	338
966	9618	328
967	9630	318
968	9646	308
969	9662	298
970	9677	289
971	9682	278
972	9687	268
973	9697	258
974	9707	248
975	9716	238
976	9732	229
977	9754	219
978	9773	209
979	9784	199
980	9794	189
981	9816	179
982	9824	169
983	9835	159
984	9846	149
985	9851	139
986	9862	129
987	9875	119
988	9882	109
989	9891	99
990	9897	89
991	9902	79
992	9907	69
993	9912	59
994	9916	49
995	9922	39
996	9927	29
997	9932	19
998	9937	9
999	9942	0
848	29
997	9859	19
998	9871	9
999	9889	0
